,release_speed,release_pos_x,release_pos_z,batter,pitcher,zone,hit_location,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,opp_hand,x0_CH,x0_CU,x0_EP,x0_FC,x0_FF,x0_FS,x0_FT,x0_KC,x0_SI,x0_SL,HitClf
3561,93.8,-2.74,5.32,623520,656427,12.0,2.0,1,2,-0.35,1.12,0.33,3.81,2,4,,,8.76907366562857,-136.57673860952,-0.7447356174782571,-6.17458107332967,27.599345297926,-17.894788372011,3.25,1.55,,,,94.8,2146.0,6.7,566596,53.85,,,0.0,1.0,0.0,0.0,,30,4,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3562,91.5,-2.85,5.21,608365,656427,4.0,5.0,0,1,-1.06,0.5,-0.81,2.76,1,4,101.39,167.26,7.4794440992602595,-133.194939722262,-1.45492041004253,-14.280135165739699,25.747694076627997,-26.0594953192625,3.47,1.64,104.0,83.6,11.0,92.4,2139.0,6.6,566596,53.89,0.56,0.504,0.0,1.0,0.0,0.0,4.0,29,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3563,95.1,-2.84,5.19,518792,656427,2.0,8.0,2,2,-0.46,1.03,-0.09,3.01,0,4,145.86,49.02,8.30368228729128,-138.31672089887698,-2.41326269857291,-7.84053057280605,30.8720076249049,-18.5076348397901,3.47,1.64,355.0,90.8,26.0,95.7,2089.0,6.6,566596,53.85,0.135,0.17300000000000001,0.0,1.0,0.0,0.0,3.0,28,5,2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3564,91.8,-2.66,5.0,575929,656427,4.0,2.0,1,2,-1.06,0.42,-0.68,2.26,2,3,,,7.3857175603553795,-133.755027671106,-2.1042596122480197,-14.368948259110802,25.157753355380503,-26.8186152875221,3.13,1.45,,,,93.1,1963.0,6.7,566596,53.81,,,0.0,1.0,0.0,0.0,,21,6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3565,94.6,-2.89,5.23,519203,656427,7.0,8.0,1,1,-0.68,1.05,-0.59,1.67,2,3,111.27,85.54,7.59216405437908,-137.664488437677,-6.07625373131545,-10.275319204679901,26.354797412934605,-17.605422668696498,3.53,1.72,227.0,93.6,11.0,95.7,2230.0,6.6,566596,53.91,0.8220000000000001,0.764,0.9,1.0,1.0,0.0,4.0,20,3,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3566,83.6,-2.79,5.19,592178,656427,6.0,2.0,3,2,0.8,0.71,0.82,2.58,1,3,,,6.757101095374,-121.687009059086,-1.03528665975138,6.74365616640996,21.064439190787002,-25.154166983906304,3.11,1.53,,,,83.8,2424.0,6.1,566596,54.39,,,0.0,1.0,0.0,0.0,,19,7,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3567,91.2,-2.81,5.31,656941,656427,4.0,4.0,2,0,-0.32,0.99,-0.42,2.25,0,3,155.19,151.21,6.74339802927484,-132.895797240111,-4.07347916320854,-5.02941967045403,23.857512593619,-19.6138459043059,3.29,1.58,45.0,107.5,0.0,92.5,2077.0,6.7,566596,53.85,0.478,0.43,0.0,1.0,0.0,0.0,4.0,18,3,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3568,82.4,-2.65,5.21,500779,656427,14.0,2.0,0,2,0.96,0.23,0.94,0.8,2,2,,,6.296400874071,-119.860123945596,-3.9639896878586205,8.0856548554253,23.3685412784585,-29.3806945595646,3.38,1.6,,,,82.6,2317.0,6.5,566596,54.02,,,0.0,1.0,0.0,0.0,,14,4,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3569,83.3,-2.66,5.08,546991,656427,14.0,4.0,0,2,0.71,0.57,0.86,1.64,1,2,186.18,166.44,6.698016673241559,-121.188298782761,-2.61242908873521,5.830662559736,21.967254662514,-26.252311273362103,3.3,1.52,183.0,70.8,55.0,83.8,2357.0,6.5,566596,54.03,0.085,0.086,0.0,1.0,0.0,0.0,3.0,13,3,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3570,84.1,-2.72,5.14,623520,656427,14.0,2.0,3,2,0.67,0.59,1.45,1.78,0,2,,,8.36514968226787,-122.378411122537,-2.65617888890073,5.418131684840139,21.209239015329498,-25.8791139158668,3.25,1.55,,,,85.0,2378.0,6.6,566596,53.9,,,0.0,1.0,0.0,0.0,,12,6,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
